Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
10/29/2017,Loblaws,LOBLAWS 95.3,12.73,debit,Groceries,MASTERCARD,,
10/28/2017,Loblaws,LOBLAWS 95.3,8.57,debit,Groceries,MASTERCARD,,
10/28/2017,Loblaws,LOBLAWS 95.3,3.87,debit,Groceries,MASTERCARD,,
10/28/2017,Ottawa Pizza,OTTAWA PIZZA,28.57,debit,Restaurants,TD GREEN VISA,,
10/27/2017,LCBO,LCBO/RAO #0384,13.65,debit,Alcohol & Bars,TD GREEN VISA,,
10/27/2017,Lids,LIDS 7797,20.33,debit,Clothing,TD GREEN VISA,,
10/27/2017,Burgers N Fries,BURGERS N' FRIES FOREVER,25.35,debit,Fast Food,TD GREEN VISA,,
10/27/2017,Lids,LIDS 7797,41.8,debit,Clothing,TD GREEN VISA,,
10/27/2017,Td ATM Dep,TD ATM DEP 005695,250,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/25/2017,Loblaws,LOBLAWS 95.3,8.23,debit,Groceries,MASTERCARD,,
10/25/2017,Commissionaires,COMMISSIONAIRES OTTAWA,56.5,debit,Legal,TD GREEN VISA,,
10/23/2017,YMCA,YMCA-YWCA NATIONAL CAPITA,42.94,debit,Gym,TD GREEN VISA,,
10/22/2017,LCBO,LCBO/RAO #0624,11.7,debit,Alcohol & Bars,TD GREEN VISA,,
10/21/2017,Loblaws,LOBLAWS 95.3,20.46,debit,Groceries,MASTERCARD,,
10/20/2017,Commissionaires,COMMISSIONAIRES OTTAWA,56.5,debit,Legal,TD GREEN VISA,,
10/20/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
10/20/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
10/19/2017,Td ATM Withdrawal,TD ATM W/D 000839,40,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
10/18/2017,Loblaws,LOBLAWS 95.3,5.99,debit,Groceries,MASTERCARD,,
10/18/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HJ450,733,credit,Hide from Budgets & Trends,TD HIGH INTEREST SAVINGS ACCOUNT,,
10/18/2017,Transfer Personal Payee,Transfer to Personal Payee LINE J6K4R7,18,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
10/18/2017,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT 6544718 HJ450,733,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
10/18/2017,Canada Pay,CANADA PAY,1383.06,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/17/2017,Loblaws,LOBLAWS 95.3,24.19,debit,Groceries,MASTERCARD,,
10/17/2017,LCBO,LCBO/RAO #0384,17.8,debit,Alcohol & Bars,TD GREEN VISA,,
10/17/2017,Endy Sleep,ENDY SLEEP,904,debit,Furnishings,TD GREEN VISA,,
10/17/2017,Online Payment,PAYMENT - THANK YOU,904,credit,Hide from Budgets & Trends,TD GREEN VISA,,
10/17/2017,Transfer Td Wr,Transfer to TD Credit Card WR455,904,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
10/16/2017,Roosters Coffee House,ROOSTERS COFFEE HOUSE,3.19,debit,Coffee Shops,TD GREEN VISA,,
10/16/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,115,credit,Credit Card Payment,TD GREEN VISA,,
10/16/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
10/16/2017,E Tfr C,E TFR C0***T6h,25,debit,Internet,TD STUDENT CHEQUING ACCOUNT,,
10/16/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card LX032,115,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
10/12/2017,Email Tfr C,EMAIL TFR C0***Ycj,80,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
10/11/2017,Loblaws,LOBLAWS 95.3,19.11,debit,Groceries,MASTERCARD,,
10/11/2017,Loblaws,LOBLAWS 95.3,3.94,debit,Groceries,MASTERCARD,,
10/10/2017,Paiement Td,PAYMENT / PAIEMENT - TD,90,credit,Credit Card Payment,MASTERCARD,,
10/10/2017,Online Payment,PAYMENT - THANK YOU,41.25,credit,Hide from Budgets & Trends,TD GREEN VISA,,
10/10/2017,Open Account,OPEN ACCOUNT,0,credit,Transfer,TD HIGH INTEREST SAVINGS ACCOUNT,,
10/10/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 RI244,1200,credit,Hide from Budgets & Trends,TD HIGH INTEREST SAVINGS ACCOUNT,,
10/10/2017,President Choice Z,President's Choice MasterCard Z7W7U4,90,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
10/10/2017,Transfer Td Ri,Transfer to TD Credit Card RI261,41.25,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
10/10/2017,E Tfr C,E TFR C0***Bsq,70,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
10/10/2017,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT 6544718 RI244,1200,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
10/10/2017,E Tfr C,E TFR C0***pTZ,70,debit,Uncategorized,TD STUDENT CHEQUING ACCOUNT,,
10/9/2017,Truc Restaurant,TRUC RESTAURANT,16.88,debit,Restaurants,TD GREEN VISA,,
10/7/2017,LCBO,LCBO/RAO #0624,19.5,debit,Alcohol & Bars,TD GREEN VISA,,
10/7/2017,Value Village,VALUE VILLAGE 2119,3.38,debit,Clothing,TD GREEN VISA,,
10/6/2017,Loblaws,LOBLAWS 95.3,32.62,debit,Groceries,MASTERCARD,,
10/6/2017,LCBO,LCBO/RAO #0384,11.7,debit,Alcohol & Bars,TD GREEN VISA,,
10/6/2017,New King Shawarma,NEW KING SHAWARMA,19.48,debit,Restaurants,TD GREEN VISA,,
10/6/2017,Hooley,HOOLEY'S,24.91,debit,Alcohol & Bars,TD GREEN VISA,,
10/5/2017,Canada Gst,CANADA GST,106.75,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/5/2017,Bmo Y Z,BMO MasterCard Y9Z5W9,50,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
10/4/2017,Carleton University Pa,CARLETON UNIVERSITY PA,6,debit,Tuition,MASTERCARD,,
10/4/2017,Burrito Shack,BURRITO SHACK,11.68,debit,Restaurants,TD GREEN VISA,,
10/4/2017,Second Cup,CARLETON SECOND CUP 35,2.31,debit,Coffee Shops,TD GREEN VISA,,
10/4/2017,Canada Pay,CANADA PAY,324.27,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/4/2017,Canada Pay,CANADA PAY,1383.1,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/2/2017,Loblaws,LOBLAWS 95.3,8.18,debit,Groceries,MASTERCARD,,
10/2/2017,Reclaim Tfr C,RECLAIM TFR C1***6jm,15,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/2/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 LH142,51,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
10/2/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 LH142,51,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/30/2017,Loblaws,LOBLAWS 95.3,36.53,debit,Groceries,MASTERCARD,,
9/30/2017,Namecheap,NAME-CHEAP.COM,15.39,debit,Business Services,TD GREEN VISA,,
9/30/2017,LCBO,LCBO/RAO #0384,14.1,debit,Alcohol & Bars,TD GREEN VISA,,
9/29/2017,Loblaws,LOBLAWS 95.3,3.94,debit,Groceries,MASTERCARD,,
9/29/2017,LCBO,LCBO/RAO #0384,14.65,debit,Alcohol & Bars,TD GREEN VISA,,
9/29/2017,Email Tfr C,EMAIL TFR C2***dpF,750,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/29/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 JG311,100,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/29/2017,Email Tfr C,EMAIL TFR C0***rjN,2300,debit,Mortgage & Rent,TD STUDENT CHEQUING ACCOUNT,,
9/29/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 JG311,100,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/29/2017,Interest,INTEREST CREDIT,0.13,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
9/27/2017,Loblaws,LOBLAWS 95.3,6.25,debit,Groceries,TD GREEN VISA,,
9/27/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,PAYMENT - THANK YOU,185,credit,Credit Card Payment,TD GREEN VISA,,
9/27/2017,E Tfr C,E TFR C2***KcB,775,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/27/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HR352,185,debit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/25/2017,Paiement Td,PAYMENT / PAIEMENT - TD,65,credit,Credit Card Payment,MASTERCARD,,
9/25/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,120,credit,Credit Card Payment,TD GREEN VISA,,
9/25/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card UJ240,120,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
9/25/2017,President Choice U,President's Choice MasterCard U4Q9Z9,65,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
9/25/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/25/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
9/24/2017,LCBO,LCBO/RAO #0384,8.7,debit,Alcohol & Bars,TD GREEN VISA,,
9/23/2017,Knifewear,KNIFEWEAR INC,242.39,debit,Home Supplies,TD GREEN VISA,,
9/22/2017,Loblaws,LOBLAWS 95.3,22.5,debit,Groceries,MASTERCARD,,
9/22/2017,Tim Horton's,TIM HORTONS 3169 QTH,2.81,debit,Coffee Shops,TD GREEN VISA,,
9/22/2017,YMCA,YMCA-YWCA NATIONAL CAPITA,42.94,debit,Gym,TD GREEN VISA,,
9/22/2017,LCBO,LCBO/RAO #0384,14.7,debit,Alcohol & Bars,TD GREEN VISA,,
9/22/2017,Bmo R Z,BMO MasterCard R9Z7J9,38.25,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
9/22/2017,Transfer Personal Payee,Transfer to Personal Payee LINE R9Z7J6,18.06,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/22/2017,Td ATM Withdrawal,TD ATM W/D 007104,60,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
9/21/2017,Loblaws,LOBLAWS 95.3,16.68,debit,Groceries,MASTERCARD,,
9/21/2017,C U Campus,C U CAMPUS CARD,60,debit,Mobile Phone,TD GREEN VISA,,
9/20/2017,Fitness Warehouse,FITNESS WAREHOUSE INC,84.75,credit,Credit Card Payment,TD GREEN VISA,,
9/20/2017,Canada Pay,CANADA PAY,1005.27,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/19/2017,Loblaws,LOBLAWS 95.3,30.83,debit,Groceries,MASTERCARD,,
9/18/2017,Paiement Td,PAYMENT / PAIEMENT - TD,100,credit,Credit Card Payment,MASTERCARD,,
9/18/2017,Online Payment,PAYMENT - THANK YOU,86.51,credit,Hide from Budgets & Trends,TD GREEN VISA,,
9/18/2017,President Choice Q,President's Choice MasterCard Q3W5A6,100,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
9/18/2017,Transfer Td Lx,Transfer to TD Credit Card LX054,86.51,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/18/2017,Transfer Td Every,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 LX062,100,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/18/2017,Transfer to MASTERCARD,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 LX062,100,debit,Credit Card Payment,TD EVERY DAY SAVINGS ACCOUNT,,
9/15/2017,Metro,METRO GLEBE,12.53,debit,Groceries,MASTERCARD,,
9/15/2017,Tim Horton's,TIM HORTONS 3169 QTH,1.77,debit,Coffee Shops,TD GREEN VISA,,
9/15/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
9/13/2017,Loblaws,LOBLAWS 95.3,46.18,debit,Groceries,MASTERCARD,,
9/13/2017,Loblaws,LOBLAWS 95.3,12.26,debit,Groceries,MASTERCARD,,
9/13/2017,Loblaws,LOBLAWS 95.3,13.49,debit,Groceries,MASTERCARD,,
9/13/2017,Carleton U Loeb,CARLETON U LOEB #3368,2.15,debit,Fast Food,TD GREEN VISA,,
9/12/2017,Tim Horton's,TIM HORTONS 3169 QTH,1.77,debit,Coffee Shops,TD GREEN VISA,,
9/11/2017,Shell,SHELL 1993 TENTH LINE RD,15,debit,Gas & Fuel,TD GREEN VISA,,
9/11/2017,Tim Horton's,TIM HORTONS 2936 QPS,1.77,debit,Coffee Shops,TD GREEN VISA,,
9/9/2017,Td Place Stadium,TD PLACE STADIUM,10.25,debit,Amusement,TD GREEN VISA,,
9/9/2017,Oseg Foundation,OSEG FOUNDATION,20,debit,Amusement,TD GREEN VISA,,
9/8/2017,Loblaws,LOBLAWS 95.3,16.01,debit,Groceries,MASTERCARD,,
9/8/2017,LCBO,LCBO/RAO #0384,12.6,debit,Alcohol & Bars,TD GREEN VISA,,
9/7/2017,Loblaws,LOBLAWS 95.3,6.99,debit,Groceries,MASTERCARD,,
9/6/2017,Paiement Td,PAYMENT / PAIEMENT - TD,70,credit,Credit Card Payment,MASTERCARD,,
9/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/6/2017,Osap Funding Gsl,OSAP FUNDING GSL,1475,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
9/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HT341,700,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
9/6/2017,E Tfr C,E TFR C0***ujb,25,debit,Internet,TD STUDENT CHEQUING ACCOUNT,,
9/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HT334,1000,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
